"","TIER_ID","ANNOTATION_ID","ANNOTATION_REF","VALUE","PREVIOUS_ANNOTATION","EXT_REF"
"1523","A_morph-txt-es","ann2533_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2532_flexid_3962a413-85e4-44fd-bf88-0d050897228a","abao",NA,NA
"1524","A_morph-txt-es","ann2537_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2532_flexid_3962a413-85e4-44fd-bf88-0d050897228a","-kata","ann2533_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1525","A_morph-txt-es","ann2542_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2541_flexid_8093bc08-bb12-43cb-b90b-2a9d0acfcd0f","amae",NA,NA
"1526","A_morph-txt-es","ann2546_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2541_flexid_8093bc08-bb12-43cb-b90b-2a9d0acfcd0f","-kata","ann2542_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1527","A_morph-txt-es","ann2551_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2550_flexid_814e9137-e4c6-4fee-9e7c-11f451b6ffe8","po",NA,NA
"1528","A_morph-txt-es","ann2556_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2550_flexid_814e9137-e4c6-4fee-9e7c-11f451b6ffe8","-metse","ann2551_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1529","A_morph-txt-es","ann2580_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2579_flexid_365c16cb-461b-47cd-ae9d-07a5429baa01","ijí",NA,NA
"1530","A_morph-txt-es","ann2585_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2584_flexid_5bd66e85-4640-4fe7-90d7-75751fd2e118","a",NA,NA
"1531","A_morph-txt-es","ann2590_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2584_flexid_5bd66e85-4640-4fe7-90d7-75751fd2e118","-tso","ann2585_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1532","A_morph-txt-es","ann2596_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2595_flexid_1bcb23a7-f11d-4855-815f-0562a7083b37","bote",NA,NA
"1533","A_morph-txt-es","ann2600_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2595_flexid_1bcb23a7-f11d-4855-815f-0562a7083b37","-ke","ann2596_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1534","A_morph-txt-es","ann2606_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","ann2605_flexid_82a6c762-8b75-437b-90b3-5bdb0373f21a","e-",NA,NA
"1535","A_morph-txt-es","ann2610_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2605_flexid_82a6c762-8b75-437b-90b3-5bdb0373f21a","a","ann2606_flexid_d7f713db-e8cf-11d3-9764-00c04f186933",NA
"1536","A_morph-txt-es","ann2680_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2679_flexid_c4063cc7-3127-4bca-bb0d-7c01a17170b7","tso",NA,NA
"1537","A_morph-txt-es","ann2686_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2685_flexid_e7081747-1a79-4583-9041-deea202d3531","bote",NA,NA
"1538","A_morph-txt-es","ann2690_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2685_flexid_e7081747-1a79-4583-9041-deea202d3531","-me","ann2686_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1539","A_morph-txt-es","ann2694_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2685_flexid_e7081747-1a79-4583-9041-deea202d3531","-ibo","ann2690_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1540","A_morph-txt-es","ann2700_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2699_flexid_6713a767-95fd-417d-a72f-ca4014ad8269","mote",NA,NA
"1541","A_morph-txt-es","ann2704_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2699_flexid_6713a767-95fd-417d-a72f-ca4014ad8269","-me","ann2700_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1542","A_morph-txt-es","ann2708_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2699_flexid_6713a767-95fd-417d-a72f-ca4014ad8269","-ibo","ann2704_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1543","A_morph-txt-es","ann3000_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2999_flexid_6eb2ffc7-f26b-4d0b-b1cd-35aa926ba4dd","bote",NA,NA
"1544","A_morph-txt-es","ann3004_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2999_flexid_6eb2ffc7-f26b-4d0b-b1cd-35aa926ba4dd","-tso","ann3000_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1545","A_morph-txt-es","ann3010_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann3009_flexid_eab0b911-6095-42d5-aa79-6feaf80de886","eshoi",NA,NA
"1546","A_morph-txt-es","ann3020_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann3019_flexid_6f8bca7e-4046-48fc-82d5-c1632c8a517a","badi",NA,NA
"1547","A_morph-txt-es","ann3024_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann3019_flexid_6f8bca7e-4046-48fc-82d5-c1632c8a517a","-a","ann3020_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1548","A_morph-txt-es","ann3036_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann3035_flexid_45ae555a-33bc-4609-b3f6-06deca67cf37","bakwe",NA,NA
"1549","A_morph-txt-es","ann3041_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann3040_flexid_0f16d995-b7a8-4e08-be38-109747ff8a61","lale",NA,NA
"1550","A_morph-txt-es","ann3046_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann3040_flexid_0f16d995-b7a8-4e08-be38-109747ff8a61","-neti","ann3041_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1551","A_morph-txt-es","ann3058_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann3057_flexid_5bd66e85-4640-4fe7-90d7-75751fd2e118","a",NA,NA
