"","TIER_ID","ANNOTATION_ID","VALUE","t0.id","t0","t1.id","t1","filename","atype","ANNOTATION_REF","PREVIOUS_ANNOTATION","EXT_REF"
"1476","A_morph-txt-es","ann606_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","pi-",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann605_flexid_59c85b86-6db9-47d6-85c2-39369a913974",NA,NA
"1477","A_morph-txt-es","ann611_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","kwae",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann605_flexid_59c85b86-6db9-47d6-85c2-39369a913974","ann606_flexid_d7f713db-e8cf-11d3-9764-00c04f186933",NA
"1478","A_morph-txt-es","ann616_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-ma",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann605_flexid_59c85b86-6db9-47d6-85c2-39369a913974","ann611_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1479","A_morph-txt-es","ann620_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-ta",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann605_flexid_59c85b86-6db9-47d6-85c2-39369a913974","ann616_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1480","A_morph-txt-es","ann625_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","a",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann624_flexid_191414e2-9610-4f35-bcff-82ccc65b65e6",NA,NA
"1481","A_morph-txt-es","ann630_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-ta",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann624_flexid_191414e2-9610-4f35-bcff-82ccc65b65e6","ann625_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1482","A_morph-txt-es","ann640_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","famila",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann639_flexid_f75805d1-b88b-485f-816a-e702e8f8c0fb",NA,NA
"1483","A_morph-txt-es","ann645_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","peada",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann644_flexid_86703b62-80b9-4869-a7a1-e68cffd24740",NA,NA
"1484","A_morph-txt-es","ann651_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann650_flexid_a1b0e7f7-e614-4f5f-a6e3-ec1a1ba7c4e6",NA,NA
"1485","A_morph-txt-es","ann661_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipawe",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann660_flexid_3265e488-fb17-4666-930a-098fee914fad",NA,NA
"1486","A_morph-txt-es","ann666_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","wada",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann665_flexid_4a2cb79c-ad8d-4a47-a2b5-ccb4e227972d",NA,NA
"1487","A_morph-txt-es","ann671_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","cuñado",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann670_flexid_43f5d0a4-d18e-42c6-bac6-cd83669b6074",NA,NA
"1488","A_morph-txt-es","ann677_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","doemetse",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann676_flexid_6b5210dd-d917-494e-bbd9-b81988b1ae4b",NA,NA
"1489","A_morph-txt-es","ann688_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","pona",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann687_flexid_f0d1bf67-968d-4455-ac1c-16139681f4bb",NA,NA
"1490","A_morph-txt-es","ann694_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","po",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann693_flexid_af6e0407-ec1a-4f61-9859-1606ce8d0fde",NA,NA
"1491","A_morph-txt-es","ann699_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","a",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann693_flexid_af6e0407-ec1a-4f61-9859-1606ce8d0fde","ann694_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1492","A_morph-txt-es","ann704_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-me",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann693_flexid_af6e0407-ec1a-4f61-9859-1606ce8d0fde","ann699_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
